CentralAir,Area Income,House Age,Number of Rooms,Number of Bedrooms,Area Population,Price,Address
Y,63700.26247,5,8,6,38398,954154.2069,"6804 Alexis Terrace Suite 131
Robertside, GA 20350"
Y,74010.16361,6,6,2,46239,1356691.387,"9936 Robinson Avenue Apt. 959
Joannton, MI 18340-1649"
Y,67094.19707,5,7,4,30023,1202992.884,"0555 Erin Crescent Suite 520
West Joshua, CT 50309-9080"
Y,66714.67588,7,8,6,53185,1502447.917,"Unit 5035 Box 2191
DPO AE 45785-6213"
Y,72745.45473,8,7,4,53001,1947338.44,"691 Vanessa Prairie
Santanamouth, SD 08884-3154"
Y,79923.81188,5,7,5,33828,1153516.919,"411 Hobbs Bypass
North Susantown, SC 22009-2061"
Y,48510.91013,6,5,3,31451,414165.2204,"796 Newman Bypass
Walkerhaven, TN 71532"
Y,50534.34598,7,5,4,26627,723089.9525,"10327 Lisa Via Apt. 970
Burnettshire, IL 42501-3262"
Y,55543.52009,7,8,5,40063,1193482.503,"9361 Stephen Stream
Port Meganfurt, AR 82577"
Y,85466.39026,6,5,3,38191,1380602.556,"91961 Barker Plain
Richardsonstad, AL 90756"
Y,48735.92451,6,6,2,19682,151527.0826,"3426 Vicki Track
Lake Rebeccashire, TN 53858"
Y,76388.55196,6,7,2,36841,1114729.725,"PSC 1483, Box 6662
APO AP 78821-4369"
Y,73279.0309,6,8,3,13981,984421.2253,"3465 Latoya Well
Nelsonmouth, MI 55741-4287"
Y,64661.93028,5,6,2,49457,875904.5286,"3737 Hartman Rue
Reneestad, ID 69250-7718"
Y,59390.34682,6,7,4,28996,788427.8399,"8460 Kathleen Mission Apt. 482
Port Amytown, KY 72016"
Y,66064.53282,7,7,4,44561,1444701.328,"054 Carter Crescent Suite 674
Glennport, WA 11140"
Y,72488.15969,6,8,4,41199,1450393.53,"974 Austin Loop Suite 256
Thorntonberg, NH 82286"
Y,70793.71967,5,6,3,19908,921321.015,"USNS Miller
FPO AE 14408"
Y,78241.07538,6,9,6,20548,1160146.171,"4841 Gonzales Cliff
Jessicaton, ME 01252-0631"
Y,72752.68045,6,8,6,24944,1222689.523,"USNS Davis
FPO AE 01516-7753"
No,78963.89414,7,6,3,59975,2004396.372,"9461 Matthew Summit
North Kathleen, NC 35103"
Y,49775.40595,5,6,2,23557,454055.6559,"7952 Hubbard Port Apt. 171
Scottstad, FL 50931-5306"
Y,87768.40474,5,7,2,45801,1698198.751,"USCGC Bowman
FPO AP 06884-6883"
Y,65449.35478,7,6,4,34828,1193106.94,"124 White Parks
Paulashire, NH 45632"
Y,85193.98157,6,4,4,38785,1275403.464,"3812 Jonathan Pine
Russoburgh, NY 32637"
Y,67933.03112,4,7,2,42772,810751.725,"7526 Kimberly Dam Apt. 283
Balltown, MT 35720"
Y,50316.88697,7,7,4,25202,642862.7138,"767 David Shores Suite 114
Penaport, MO 96682"
No,53974.54595,6,7,4,41442,1086825.754,"2670 Mcdonald Ferry
Ashleytown, MO 71304"
Y,63049.97489,6,6,3,24986,773360.698,"PSC 8678, Box 2297
APO AP 71550-8900"
Y,85906.91211,7,7,5,21332,1500962.615,"Unit 4414 Box 5798
DPO AE 87388"
Y,62355.35378,5,5,4,23768,768301.802,"4270 Stanley Rest
West Alyssamouth, WA 88463-6602"
Y,64749.79548,7,8,4,49537,1781211.414,"4293 Abigail Tunnel
West Brandi, ND 75636"
Y,75072.99461,6,9,5,27494,1420469.727,"031 Smith Valley
Lyonsbury, ND 76645"
Y,79345.39141,5,7,3,37574,1380215.515,"53093 Robinson Turnpike Apt. 294
East Shelly, WI 61227-4427"
Y,67682.72889,6,6,4,37029,1090805.374,"PSC 1769, Box 1709
APO AE 77664"
Y,57869.26848,6,8,3,31819,886815.9436,"67127 Castillo Row
South Brittany, GU 31115-2304"
Y,60027.56086,5,6,3,54739,1007224.929,"3429 Morgan Mountains Apt. 501
Markchester, IL 44595-8192"
Y,71146.48933,7,6,3,22876,1077754.226,"7099 Henry Underpass Suite 488
Ambertown, MH 22779-8940"
Y,52455.36584,7,7,6,35143,1253648.324,"43213 Allen Lake
Morrismouth, SC 66122"
Y,66967.39846,4,6,3,51555,1102943.351,"77365 Brown Pass Apt. 691
West Erinhaven, ME 73313-1203"
Y,59013.40347,5,6,2,28264,744132.7042,"2842 Walton Harbor Apt. 624
Port Matthew, GA 15870-2401"
Y,70370.50368,7,8,6,53832,1845630.071,"287 Jonathan Forks Suite 171
Marcfort, MT 01752-8912"
Y,66989.73178,5,6,3,37017,873588.1297,"Unit 1169 Box 9437
DPO AE 46067-0818"
Y,64050.3508,5,7,3,29084,755678.3301,"0173 Mark Union Suite 970
West Jacobhaven, WV 11076-0353"
Y,71195.26284,6,5,2,29508,1101826.315,"2692 Kevin Highway
East Daniel, MN 81963"
Y,82866.39918,5,8,4,41167,1618994.276,"6490 Mary Mill
Murphyburgh, IN 82508"
Y,60826.60596,6,6,3,36893,1127873.577,"2012 Jamie Stream Suite 731
South Amandahaven, WI 85011-1378"
Y,65543.33854,4,7,6,28939,749847.1904,"15144 Ponce Track Suite 937
West Brian, PR 23989-3606"
Y,62902.25549,7,7,3,27321,984672.2998,"18878 Harrison Mission Suite 409
South Matthewton, FM 94469"
Y,59030.17255,6,5,2,22803,534077.4555,"PSC 8691, Box 0969
APO AE 04060-9945"
Y,66320.45082,5,8,5,36145,1242114.101,"77139 Adam Courts
Christopherville, AS 59841-0766"
Y,68964.67686,6,7,3,37588,1273631.267,"97930 Franklin Lights Suite 149
West Nicholasfort, OR 26956"
No,68994.17845,6,7,6,30610,1095597.944,"91466 Rosales Mill Apt. 487
Leetown, CO 99154-8718"
Y,58517.06201,8,8,6,30889,1364738.296,"892 Meyer Square Suite 671
Jamiemouth, WY 88591"
Y,65018.54121,6,6,3,32581,1037147.467,"02637 Fernando Landing Suite 709
Kristastad, OK 10295-9448"
Y,74656.89424,6,8,4,22602,1228517.207,"4432 Andrew Ville
South Christopher, TX 56693-9237"
No,57697.07538,6,7,2,18282,759360.6548,"54614 Guzman Wells Suite 563
Kevintown, NY 58622"
Y,69234.7226,6,6,3,38322,1140579.618,"39178 Montgomery Garden Apt. 084
Stephensonburgh, AZ 47755"
Y,63015.68746,6,6,3,26674,810741.5185,"75963 Harrison Overpass Apt. 325
Gonzalezton, ME 98635-8215"
Y,52022.15897,6,6,3,31321,642855.1696,"8593 Elizabeth Key
Robinbury, GU 72533"
Y,80058.99835,7,7,4,23361,1562950.322,"073 Christopher Rapid Apt. 413
New Nathan, VT 16689-2914"
Y,87332.29323,6,7,3,43754,1599851.895,"93504 Jensen Mews Apt. 315
Wilsonhaven, AK 27251-3724"
Y,63658.4284,7,7,2,39591,1332669.235,"3424 Melinda Ridges
Rhodesview, WI 12271"
Y,46517.17527,6,8,5,26452,665160.0759,"92380 John Branch Apt. 316
New Loriside, KS 11077-3819"
Y,88305.92082,7,7,3,32190,1591383.735,"Unit 3294 Box 9388
DPO AP 80733-4870"
Y,49784.89123,7,9,4,36565,1144507.423,"71963 Smith Port Suite 436
Chelseaside, SD 53803"
Y,84054.45185,6,8,5,23023,1619721.716,"78750 Jenkins Forges
Lake Dawnside, VI 90324"
Y,66774.99582,6,8,4,36789,1251688.616,"50319 Kathryn Mill Suite 946
West Calvin, HI 96409"
Y,70981.27869,7,8,6,53543,1882806.934,"26200 Anthony Mountain Apt. 669
Escobarborough, PA 80969"
Y,70767.32966,5,7,6,26926,1016163.177,"5480 Melanie Summit
New Margaret, SC 24919-4038"
Y,77103.14304,6,9,4,45747,1721005.42,"24415 Benjamin Circles Apt. 851
East Brianton, NV 23279-7101"
Y,67742.54926,5,8,5,30678,890138.2114,"95611 Petersen Extensions
New Larryview, MI 42870-4215"
Y,76443.23184,6,6,3,40129,1272719.632,"975 Zamora Mews Suite 866
Christopherfurt, SD 58513-7345"
Y,78115.63189,6,7,4,45024,1582605.535,"405 Veronica Ranch
Gomezfurt, VI 42186"
No,69500.89346,5,6,3,48767,1170204.339,"388 Scott Path
Catherinestad, NV 87040-6522"
Y,81535.14988,3,6,3,51000,1166750.313,"60734 Trujillo Circles
Loriview, NC 26839"
Y,41240.05728,6,5,4,40888,319495.6676,"40561 Amanda Trafficway Suite 870
Timothystad, DE 65577-4746"
Y,45073.89518,8,5,3,38066,704698.3621,"649 Adams Viaduct
Dustinland, MD 91269-0163"
Y,53173.34528,6,7,2,43600,945614.5659,"24973 Smith Park
New Jamestown, AL 82152-5568"
Y,80900.43969,6,9,4,40269,2054897.009,"895 Michael Loop Suite 312
Mossberg, VT 04614"
Y,69227.60726,4,9,6,42583,1280230.625,"03563 Ryan Ford Suite 238
Millerland, AK 68004-1318"
Y,54858.82363,6,6,4,36229,850114.5963,"411 Janet Island
Samuelmouth, IL 41084-3705"
Y,77098.86887,8,6,4,46479,1637649.905,"586 Lori Rapids
South Melissa, SC 90542"
Y,104702.7243,6,7,3,22561,1742431.663,"14230 Douglas River Suite 570
Conniechester, MT 04172"
Y,50473.02312,6,7,3,50145,942093.9245,"Unit 1700 Box 9996
DPO AE 67217-1120"
No,75675.1659,5,7,3,45104,1388782.887,"58890 Mack Hollow Suite 313
Alvarezside, WI 54048"
Y,72727.22579,6,6,3,27159,996506.0709,"4919 Torres Mission Suite 121
East Megan, NC 00957"
Y,56428.97367,4,7,4,44878,790802.801,"109 Campbell Mission
Cynthiatown, IN 03495"
Y,43496.72566,6,7,2,35727,718650.6438,"PSC 9565, Box 9639
APO AA 70543-2899"
Y,77875.98739,5,7,6,44453,1517141.623,"Unit 7924 Box 2038
DPO AE 52259"
Y,58511.34988,4,7,3,28270,496359.9708,"395 Cassandra Branch Apt. 558
Woodsfurt, AS 12901-9826"
Y,69167.94747,5,7,3,26517,820611.4709,"6788 Michael Forks
Jonesport, WI 40533-0181"
Y,65687.10668,7,7,4,17386,1122320.933,"608 Wright Oval Apt. 996
South James, AL 79256"
Y,57814.84583,5,7,2,32881,846939.4288,"8029 Emily Extension Apt. 827
West Dylantown, GU 96283"
Y,66234.68081,6,8,5,35130,1540762.269,"PSC 1615, Box 0080
APO AP 64313"
Y,65431.66476,4,7,4,38499,963531.9152,"58828 Williams Rue Suite 120
Lake Sarahmouth, NC 02335-9287"
Y,76009.54276,6,7,2,52832,1590804.044,"8109 Walter Turnpike
East Brenda, PW 06750-8134"
Y,78997.46094,7,6,2,30166,1283415.266,"35468 Grimes Wall
Port Melanieland, IN 98129"
Y,64720.05821,8,6,3,37204,1447920.68,"800 Melanie Walks
Lisafurt, CO 51209"
Y,56652.41884,7,8,5,11037,742858.6356,"34286 Monique Forks Suite 822
North Lisachester, WV 40065-7494"
Y,68311.9965,7,6,4,39724,1400609.034,"26695 Coleman Ways Apt. 973
New Michaelfurt, WI 63617"
No,73462.68344,7,6,3,47638,1638577.417,"04062 Gibson Inlet Apt. 618
Christophermouth, SD 08482-3032"
Y,60731.8823,6,9,5,35341,1235475.55,"2700 Taylor Valleys
North Isaac, GA 68514"
Y,74655.63476,6,8,4,22170,1249417.897,"3863 Turner Wall
Amyview, IN 64669-3605"
Y,75823.57065,7,7,2,35784,1499356.12,"4256 Myers Loaf Suite 534
Jefferyview, LA 41444-7451"
Y,78988.20285,4,6,4,31677,1005843.917,"PSC 0138, Box 6392
APO AP 95791"
Y,52868.32302,6,4,4,41849,623721.613,"3669 Nichols Crossroad Apt. 092
Vegaburgh, VT 81695-9820"
Y,64251.5372,5,6,4,45173,922514.088,"PSC 1505, Box 9998
APO AA 09484"
Y,74555.76808,8,7,4,32938,1638606.834,"2640 Garcia Underpass Suite 068
Bennettberg, AZ 13005-5094"
Y,70355.77481,6,7,5,39883,1249223.831,"004 Hebert Wall Apt. 438
Port Todd, AS 29441-5110"
Y,92052.74763,6,8,5,47343,1928301.782,"312 Peters Views
Jeffreystad, MO 63030-8714"
Y,82073.85542,7,6,4,34318,1487729.592,"299 Jensen Isle
Allenfurt, NV 80137"
Y,52699.66757,6,9,3,30299,896303.7992,"19136 Sheri Place Suite 841
North Karenfurt, LA 49356-4270"
Y,71792.28685,8,8,3,48266,1903813.793,"062 Paige Extensions
North Linda, AK 44973"
Y,58655.8541,6,7,4,40741,1069851.162,"983 Schneider Camp Suite 563
North Michaelfurt, GU 92884-3694"
Y,71088.66891,5,6,3,28751,829868.2304,"58894 Chapman Skyway Suite 476
Port Kevin, ID 07728"
Y,74984.66675,4,8,4,29287,1181338.161,"Unit 1215 Box 1465
DPO AE 75206-0330"
Y,59081.98555,7,7,2,42578,1401767.904,"PSC 9942, Box 7298
APO AA 44420-7366"
Y,71329.00273,6,6,3,25974,1235501.486,"4972 Collins Glens Suite 751
Aliville, MT 39392-7727"
Y,76698.57302,6,6,4,52881,1522083.944,"01531 Carpenter Extension Suite 630
South Cheryl, MH 27754-1554"
Y,61504.26463,5,7,4,24805,656971.5307,"23089 Joseph Burg Suite 653
Morganstad, DE 48152-4576"
Y,68386.82247,8,8,4,39139,1660678.035,"5620 Edwards Mountains Suite 093
Cruzburgh, PR 50913"
Y,64427.37437,5,6,4,25654,606191.8669,"170 Denise Shores
West Kyleberg, IL 67228-2100"
Y,63920.38949,5,8,4,31035,1011331.164,"32935 Jones Key
Ashleyton, FM 70367-1730"
Y,76835.95793,7,8,6,27622,1529830.368,"6245 Simon Trail Apt. 717
Joneshaven, MA 01499"
Y,65173.05044,8,7,4,44126,1489520.019,"4287 Jeremy Island Suite 935
Geraldmouth, TN 04627-8015"
Y,61025.39026,9,8,6,34731,1468267.23,"04858 Toni Stream
Vargaston, AR 13958"
Y,76783.35466,6,6,3,26704,978312.7484,"438 Angela Ports
Natalieside, KS 61342"
Y,69336.42523,7,6,2,37593,1181637.949,"5310 Watkins Burg
West Kimberlyton, MO 92895"
Y,57824.96715,5,7,3,45555,1015233.032,"171 Krista Motorway
Gilbertchester, IN 45261-4696"
Y,69585.89479,4,7,3,36099,1139615.72,"25225 Rachel Springs
Port Chelsea, WY 06509-0487"
Y,62340.2552,7,7,6,24962,984349.6142,"PSC 2879, Box 5105
APO AP 94829-7837"
Y,75040.81543,6,8,5,34733,1765281.093,"67722 Taylor Route Apt. 253
Samanthatown, NV 06426-8497"
Y,87113.7922,5,6,2,31173,1327975.249,"206 Hays Underpass Suite 167
Zacharymouth, ID 28214"
Y,56827.21709,6,6,4,29506,804170.2016,"01590 Dominique Springs
Randyborough, ID 02762"
No,71824.15458,6,8,6,41187,1467271.556,"785 Patel Knolls Suite 740
South Stacey, VI 42709-5391"
Y,68662.41461,5,8,4,43796,1478823.647,"134 Mary Via Suite 921
Victorialand, NC 90122-4081"
Y,66006.17956,6,7,4,40691,1367312.132,"1147 Kimberly Vista
Sandraview, WY 40555-7596"
No,69266.7921,5,6,4,40588,1162469.887,"384 Johnson Oval
North Ericstad, MH 96639"
No,68089.56111,6,6,3,57098,1473278.441,"726 Chris Station
New Larryfort, AK 18157"
Y,62745.03284,6,8,4,16738,897479.9502,"5504 Wagner Mountain Apt. 189
Thomasside, ID 89781-6585"
Y,85526.62094,6,6,2,32636,1568578.512,"5694 Anthony Throughway
New Stevenburgh, IL 15612"
Y,68561.66043,7,8,4,31797,1421518.602,"USNS Howard
FPO AP 62646-3735"
Y,67100.06891,7,6,2,27457,1199144.788,"5829 Tucker Landing Apt. 091
Lake Dennisburgh, SD 85755"
Y,74056.99593,8,6,4,37522,1596180.568,"85811 Anthony Causeway Suite 974
East Paige, WY 97156"
Y,78159.95403,5,6,4,31112,1264972.442,"3276 Harris Pines Suite 433
Port Paul, NY 66202-6795"
Y,58348.79711,6,7,6,59129,1135465.473,"09890 Davis Vista
Lucasview, TN 51476"
Y,60975.08796,7,6,3,43753,1359838.999,"42564 Derrick Knoll
Butlerstad, WY 67426-4700"
Y,60167.67261,5,4,4,16811,88591.77016,"97009 Annette Vista
Michaelside, AZ 39867"
Y,78063.24199,7,8,5,37839,1822448.617,"2745 Winters Island
Jacquelinefort, MI 90614-3062"
Y,66658.96791,8,7,4,57564,1720734.403,"14654 Nelson Brooks Suite 884
Michellemouth, SD 61060-4201"
Y,61475.25536,7,8,6,31438,1224397.427,"597 Brock Haven
New Alexisberg, MH 24498-5838"
No,59762.88225,7,8,4,28571,1209571.072,"PSC 6424, Box 5072
APO AA 04729"
Y,87596.16655,7,5,3,35392,1698820.102,"989 Ortega Plains
Victorhaven, PR 54566"
Y,79426.04018,7,8,4,49010,1860358.468,"915 Melissa Isle Suite 588
South Martinmouth, WA 79052-7323"
Y,66426.89344,6,7,4,40761,1168444.882,"7065 Brown Cliffs
East Sydneybury, PW 07220"
Y,61264.20153,5,7,3,43208,764756.0935,"0995 Olivia Land Apt. 728
Alexport, CA 92200"
Y,55224.3434,7,5,4,44916,977242.2697,"98842 Mark Corners Apt. 679
New Justinport, MA 39950"
Y,58660.89241,8,7,3,33515,1079158.653,"60437 Jessica Ridges
Lake Steve, GA 53591-0204"
Y,70193.33979,5,8,6,48417,1383395.287,"978 Cheryl Rapids
South Mary, HI 59367-0463"
Y,59691.06761,7,6,4,27770,992053.0502,"13365 Huber Lane
Woodston, AR 38916"
Y,75613.13949,7,7,5,29147,1574919.906,"0867 Humphrey Common
South Johnville, PR 56742"
No,59789.73643,5,6,3,49200,1174311.556,"996 Frederick Bridge Suite 989
Port Lucas, OR 91671"
Y,60494.11984,5,7,3,31694,795082.8102,"79749 Gabrielle Port
Irwinborough, NC 61780-4657"
Y,76517.35177,6,5,4,29789,1170573.77,"220 Harmon Gateway
Elizabethtown, NM 99925-2737"
Y,67724.04775,8,7,4,61916,1998368.741,"7655 Gomez Plains Apt. 360
South Karen, IA 23499-8371"
Y,61458.54727,4,7,3,36220,842086.6733,"840 Kelsey Glens
Evanstown, NM 13622"
Y,61704.34216,5,7,5,19148,849656.9232,"7185 Susan Island
Port Mary, HI 31939-9575"
Y,62224.01009,7,5,3,21689,908616.4826,"45287 Kevin Walks Apt. 303
Velezport, MT 84362-2342"
Y,68603.88942,7,8,6,44509,1524257.706,"96488 Brittany Center
South Alan, IN 75134"
Y,53902.93487,5,9,4,21076,685880.3213,"3944 Smith Vista
North Brendanland, ME 22625"
Y,69624.25527,4,7,2,29292,771310.0004,"1645 Flores Crest
Lake Lindaview, WY 93993"
Y,75690.69544,6,5,4,46183,1308243.922,"7796 Morgan Expressway Suite 373
Port Madelineberg, DC 21561-8649"
Y,71902.80788,6,7,6,42200,1312063.756,"582 Howell Crescent
Bushside, SC 26412"
Y,67684.42503,7,6,2,53000,1467849.818,"30378 Brady Mount Suite 478
Biancamouth, AZ 96265-0141"
Y,69320.32912,4,6,3,32669,902350.4197,"27953 Charlotte Inlet
Valerieside, ID 67284-0286"
Y,65423.24692,6,6,3,28915,926880.8506,"88662 Schaefer Lakes Apt. 253
West Kiaraland, CA 07920-9198"
Y,62083.03561,6,7,4,43486,1323326.403,"3212 Virginia Alley
Churchfort, TX 42291-6669"
Y,81844.02711,6,6,3,36242,1504026.27,"USNV Thomas
FPO AP 37448-8621"
Y,74090.42534,6,6,3,25694,1003266.876,"PSC 6990, Box 0012
APO AA 52858"
Y,59200.25436,5,6,2,22926,592397.7261,"453 Morris Junction
Ashleymouth, MN 53178-1590"
Y,63873.62802,7,8,3,27587,1339142.805,"PSC 1882, Box 8240
APO AP 98603-8591"
Y,69677.41932,5,6,3,50525,1212939.954,"54047 Miller Pine
East Savannahville, MS 13589-0506"
Y,49032.99778,6,8,4,36293,753930.5825,"0580 Adam Turnpike Suite 906
West Steven, MN 18954"
Y,62819.31128,7,7,4,38528,1538401.817,"8639 Raven Haven
South Claytonberg, MP 34615"
No,64624.3159,6,6,2,37118,1295728.088,"31989 White Parkways Suite 817
Coxstad, HI 31365-7311"
Y,63665.39442,7,8,3,44030,1472887.247,"197 Richard Dale
New Natashastad, TN 06670-3331"
Y,50760.35373,6,6,2,34685,831762.7909,"74620 Harrington Road Suite 666
South Angie, OH 45852"
Y,77235.57059,6,6,4,47329,1610577.497,"08819 Cheryl Crossroad
West Sarahchester, PA 67447"
Y,55245.33729,4,9,4,43558,881446.1155,"62277 Wall Radial
Macdonaldburgh, WA 43820-7164"
Y,82982.76423,6,7,4,44532,1666462.622,"636 Joseph Walk Suite 052
Robertview, MH 98978-1111"
Y,78754.39366,6,6,4,35324,1085218.859,"8486 Steven Mountains Apt. 835
Port Coryhaven, ME 44707"
Y,82268.08199,6,8,4,39550,1712929.654,"816 Hernandez Camp
Stephenhaven, LA 39337-3239"
No,74166.39203,6,7,6,30238,1444403.664,"0518 Morris Hills Apt. 619
Shawfort, NY 19278-6898"
Y,83179.58405,7,10,3,38588,1884674.241,"36121 Christopher Keys
Johnstonhaven, KS 80741-4004"
Y,48176.2264,7,7,4,33217,1014548.233,"76005 Anderson Orchard
Christophermouth, WI 48254-2388"
Y,79023.72048,4,9,6,22984,1084013.785,"17800 Garza Valleys
Beasleyfurt, SC 44798"
Y,73135.02161,6,6,2,36401,1279777.379,"02238 Mary Port
Brianbury, GA 26390"
Y,75323.0582,9,6,3,51528,1967384.778,"10265 Hanson Cape Suite 575
Griffinfort, DE 88966"
Y,63191.7671,6,8,3,33816,1002974.215,"PSC 4506, Box 6663
APO AP 72610-0674"
Y,51554.92453,7,7,4,36830,979568.6285,"5492 Guerra Plaza
Jessicaland, FL 69456-1301"
Y,55340.60874,5,6,4,34113,565937.2006,"489 John Locks
West Kylestad, IL 55787-7291"
Y,56296.49973,6,8,3,31165,1092130.981,"8317 Karen Ranch Apt. 775
Duranhaven, RI 51074-4650"
Y,73491.26581,8,7,2,55169,1869113.611,"1425 Jeffery Corners
Lindseybury, CO 52909"
Y,68334.78256,9,8,4,36622,1817829.53,"9424 West Ports Apt. 071
Harveychester, NH 87650"
Y,50666.24697,8,8,6,36941,1392207.648,"956 Joel Ferry Suite 812
Lake Veronicaburgh, MH 02222-5793"
Y,60307.01766,6,8,4,37740,1389773.873,"431 Carey Extensions
Cynthiamouth, DC 87878"
Y,65132.47159,5,8,6,24200,956009.1436,"78895 Angela Springs
Rioshaven, FM 26837-1313"
Y,72139.646,3,6,3,52601,945833.1891,"51270 Katelyn Motorway
Vasquezton, CT 39511"
Y,71313.03134,5,7,4,42303,1383766.082,"3541 Anne Lights
West Phyllishaven, MH 22680"
Y,56647.8825,7,8,4,39781,1400268.142,"2400 Davis Stravenue
South Emily, AZ 87538"
Y,60288.47592,6,7,3,34651,1144937.614,"0163 Samantha Coves Apt. 848
Port Heidiville, NM 43609-6558"
Y,67022.77922,6,7,4,33891,1118165.866,"173 Erik Glens
Jessicabury, OH 74442"
Y,58188.18629,6,6,2,38104,1047012.271,"591 Ryan Garden Suite 038
North William, GA 71549-7538"
Y,69350.18307,5,8,6,28747,1096069.287,"709 Boone Trafficway Suite 732
Johnsonville, FL 14665-1294"
Y,68450.26242,5,7,4,36474,1386473.365,"965 Kelly Coves Apt. 212
Johnsonport, IN 68706"
Y,70784.05258,5,6,3,41230,945831.1863,"292 Willis Trail Apt. 539
Justinville, NY 76619-4545"
Y,70309.30682,5,7,4,34945,1311379.596,"PSC 2808, Box 4823
APO AP 59900-8421"
Y,46737.59801,5,8,6,42351,885661.5908,"635 Richard Haven Apt. 323
Lake Marychester, MP 29999"
Y,69345.72167,6,8,3,47386,1507331.288,"43134 Holt Cliffs
New Susan, MI 78385-5957"
Y,89157.61293,6,7,4,33835,1643291.722,"394 Brown Landing Suite 941
Lake Maria, ME 97461-2471"
No,72568.71446,7,6,2,18896,987746.924,"8272 Gabriel Isle
Johnnyville, NJ 54309"
Y,65051.21627,4,6,2,25191,612211.5924,"3322 May Village
South Nathan, GA 03369"
Y,56780.50427,8,6,4,11019,836235.0305,"4345 Castillo Hills Apt. 222
West Adrian, FL 41997-9669"
Y,87678.03656,5,5,4,35781,1495518.624,"691 Harrison Neck Apt. 305
Medinaberg, OK 56016-1552"
Y,65817.20028,5,7,2,40675,911071.8336,"4552 Steele Falls Suite 760
East Daniellefort, ID 71749-4245"
Y,70561.55882,7,8,3,25029,1360787.871,"5178 Sonya Stravenue Suite 390
Collinsville, SC 82851"
No,73801.02176,6,7,4,30505,1455107.451,"8473 Blackwell Spring Apt. 102
Aprilfort, MN 24072"
No,72143.42949,7,7,7,23824,1327969.286,"7933 David Track
Stanleyburgh, WA 07016"
Y,78002.06277,6,9,5,47763,1838503.994,"995 Tiffany Flat
Guerrerobury, MD 77381"
Y,83443.2639,5,8,5,44901,1727211.089,"2564 Stacey Field Suite 469
East Derekburgh, ND 43793-5596"
Y,77057.17924,5,7,3,24460,1093344.577,"329 Gomez Passage
Williamschester, WA 41931-6896"
Y,60509.60604,6,7,6,27080,943485.0473,"02717 Levi Tunnel Apt. 083
West Laurie, FL 91687-3587"
Y,80305.20645,5,7,3,22267,1100632.391,"64739 Cummings Village
Danabury, ID 56756-0145"
Y,56324.62301,6,7,4,41354,1269811.089,"4364 Gonzalez Row Apt. 406
Bryanton, ND 71386"
Y,59794.61678,6,6,3,54149,1321008.593,"9750 Nelson Run Suite 892
North Amytown, NM 27274-8695"
Y,60812.86453,7,6,2,26411,978241.2891,"5008 Amanda Road
Fitzgeraldberg, WI 08145"
Y,57982.78548,7,8,3,15065,952533.5782,"144 Alice Valleys
West Ashleymouth, TN 98658"
Y,75367.07495,7,6,3,31670,1434015.033,"USCGC Smith
FPO AE 71439-9407"
Y,54447.68605,6,6,2,50201,1008649.929,"185 Carson Green
Lake Clairetown, PA 77596"
Y,101144.3239,6,7,3,35773,2007556.286,"233 Wilson Ranch Suite 086
West Christine, IN 98334"
Y,48963.29615,5,8,5,35431,882666.5815,"3563 Todd Islands
Reyesview, PW 68088"
Y,77412.16309,4,8,5,39030,1246218.31,"USNV Jones
FPO AE 44345-0119"
Y,57972.41595,8,7,4,13683,880682.302,"6867 Cruz Radial Suite 273
North Audrey, OK 05386"
Y,64882.15625,5,8,6,32808,840124.8423,"USCGC Keith
FPO AP 73230"
Y,66330.60572,7,7,3,38241,1469767.647,"7298 Larry Ridge
North Christian, TN 58581"
Y,76681.25993,7,7,4,55292,1824987.706,"05066 Bradley Estate Suite 777
New Meghan, WA 71783-8143"
Y,80744.44028,6,8,5,27186,1404896.376,"837 Adams Rest
Lake Jonathan, NH 56323"
No,77158.16601,6,8,6,28714,1290043.367,"5486 Conley Islands
Heathfort, SD 91390-8070"
Y,69351.47742,5,6,2,46833,1410362.613,"267 Victoria Well
Allenville, PW 90300"
Y,58159.41778,7,6,2,36084,1058269.019,"310 Todd Fords
Cherylland, IN 22175"
No,76275.33255,5,7,2,40355,1464929.162,"021 Katherine Ranch Apt. 263
Murphytown, OH 50187-1031"
Y,84114.29072,6,8,4,38702,1777009.712,"2780 Pam Motorway Apt. 339
North Christina, DE 50068"
Y,58756.18233,8,5,2,23272,826194.6782,"385 Garza Views
West Wayneport, MH 30304-9234"
Y,81030.83577,8,6,4,44373,1851575.868,"866 Jasmine Ferry
Nicholschester, SD 40370"
Y,87003.99576,5,8,4,24269,1552915.164,"287 Lewis Run Suite 404
Burnettfurt, OH 39485"
Y,56788.03128,7,5,4,36205,922478.9145,"PSC 4792, Box 6118
APO AE 05332-2402"
Y,88767.5336,5,6,2,58349,1753427.937,"56180 Joshua Rapid
Bellport, MS 82670-3301"
Y,70394.95155,6,7,4,31929,1387701.111,"0531 Mann Oval
South Michael, KY 13351-0617"
Y,86818.56589,6,7,5,47663,1801916.346,"51460 Mccarthy Rapids Apt. 936
Huberburgh, MO 90547-9553"
Y,60769.98733,7,7,4,35205,1237115.741,"0210 Scott Landing Apt. 319
Atkinsside, WA 50500"
Y,66774.18195,5,8,3,23793,1009606.284,"98841 Jenna Fields
Lake David, CT 06886"
Y,74542.63701,6,9,4,38040,1601678.263,"6487 Keith Shores Suite 729
Michaelview, OK 00164-4857"
